Restaurant Name,Location,Contact,Menu,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,More Info
34 Chowringhee Lane,"Shop No. 4, 7/120A, Swaroop Nagar, Kanpur, Uttar Pradesh-208002, Nagar Nigam Food Safety Zone-16, Kanpur Nagar, , Uttar Pradesh, 208002",,"[{'item': '9 X89 Lambu 109', 'price': '₹119'}, {'item': '169', 'price': '₹159'}, {'item': '169 169 2129', 'price': '₹1692'}, {'item': '149', 'price': '₹7169'}, {'item': 'Ip 2179', 'price': '₹1469'}, {'item': 'U Lambu Egg Roll', 'price': '₹89'}, {'item': 'Double Egg Roll', 'price': '₹99'}, {'item': 'Classic Chicken Roll', 'price': '₹169'}, {'item': 'Chicken Seekh Roll', 'price': '₹7169'}, {'item': 'Garlic Chicken Roll', 'price': '₹179'}, {'item': 'Chill! Chicken Roll', 'price': '₹189'}, {'item': 'Ikka Roll', 'price': '₹209'}, {'item': 'Er Chicken Roll', 'price': '₹209'}, {'item': 'Chicken Kalimirch Roll 789', 'price': '₹209'}, {'item': 'I Kebab Roll', 'price': '₹219'}, {'item': 'On Seekh Roll', 'price': '₹2359'}, {'item': 'On Roll', 'price': '₹4239'}, {'item': 'Eekha Hichki Chicken Roll', 'price': '₹89'}, {'item': '2179 Dressings', 'price': '₹220'}, {'item': 'Gulab Jamun (Pc)', 'price': '₹40'}, {'item': 'Ar Paneer', 'price': '₹265'}, {'item': 'I 25 Palak Paneer', 'price': '₹265'}, {'item': 'Ha 55 Paneer Makhani', 'price': '₹295'}, {'item': 'Naan 45 Shahi Paneer', 'price': '₹295'}, {'item': 'Er Naan', 'price': '₹55'}, {'item': 'Adka 195 Dal Makhani', 'price': '₹245'}, {'item': 'Chana Masala', 'price': '₹195'}, {'item': 'Jeera Onion Pulao', 'price': '₹59'}, {'item': 'On Curry 350', 'price': '₹550'}, {'item': '325 550 & Keema Kaleji', 'price': '₹325'}, {'item': 'Chicken Curry 300 550', 'price': '₹1100'}, {'item': 'Er Chicken 315', 'price': '₹550'}, {'item': 'Kadhai Chicken 315 550', 'price': '₹1100'}]","Teekha Hitchki Chicken Roll, Karara Aloo Roll, Chicken Keema Samosa Dhamaka Roll, Veg Jalfrezi Roll, Chicken Gravy Momos , Paneer Gravy Momos",₹500 for two,5 • 2 in Google •,"CLOSED, OPENS AT 12PM","Parking available, SwiggyPay accepted"
360* By Lush,"Opp. Raj Ratan, Moti Jheel, Harsh Nagar Near Motilal Swaroop Nagar North Kanpur 208002",,"[{'item': 'H Rabri', 'price': '₹125'}, {'item': 'Sapzi', 'price': '₹135'}, {'item': 'Hi Roll', 'price': '₹65'}, {'item': 'E 6 Pcs)', 'price': '₹185'}, {'item': 'Oe', 'price': '₹895'}, {'item': 'Haliveg Coupcormar', 'price': '₹135'}, {'item': 'Rawberry Shake 14S Vanilla Shake', 'price': '₹14'}, {'item': 'E Shake', 'price': '₹155'}, {'item': 'Shake 165 Oreo Shake 165 Brownie Shake', 'price': '₹175'}, {'item': 'Double Scoop 155 0 One Brownie Sundae 17S Cou Pane Ie Masala Cold Drink', 'price': '₹60'}, {'item': '20 Us Sala Er', 'price': '₹18'}, {'item': 'Ried Momos (6Pcs)', 'price': '₹135'}, {'item': 'Ure', 'price': '₹165'}, {'item': 'Andoori Soya Chaap', 'price': '₹195'}]","North Indian, South Indian",₹500 for two,4.3 • 257 in Google •,"CLOSED, OPENS AT 11AM","Reservation available, Parking available, Smoking area, SwiggyPay accepted"
7th Heaven Cake And Cafe,"Plot No.120/70/A, Ground Floor, First Street, Laxmi Ratan Colony, Lajpat Nagar, Narainpurwa, Kanpur, Uttar Pradesh",,[],Italian,₹1000 for two,4.1 • 52 in Google •,"CLOSED, OPENS AT 11:55AM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
AD's Kitchen Bar,112/311 A Swaroop Nagar Kanpur Near Bachaulal Khaste Wal,,"[{'item': '& Sour', 'price': '₹99'}, {'item': 'Corn', 'price': '₹99'}, {'item': '- Clear Soup', 'price': '₹149'}, {'item': 'Angdi', 'price': '₹599'}, {'item': '- Chicken Shami Kabab', 'price': '₹199'}, {'item': 'Ikka', 'price': '₹299'}, {'item': '- Brain Masala', 'price': '₹299'}, {'item': 'On Chaap', 'price': '₹449'}, {'item': 'I Kabab', 'price': '₹249'}, {'item': 'Ish', 'price': '₹240'}, {'item': 'Ish', 'price': '₹299'}, {'item': 'Ish', 'price': '₹299'}, {'item': 'Ish', 'price': '₹299'}, {'item': 'Inger', 'price': '₹299'}, {'item': 'I Kabab', 'price': '₹199'}, {'item': '- Veg. Hariyali Kabab', 'price': '₹199'}, {'item': '- Dahi Kabab', 'price': '₹259'}, {'item': '- Soya Chaap Pudina', 'price': '₹229'}, {'item': 'Ghani', 'price': '₹229'}, {'item': '- Soya Chaap Masala', 'price': '₹229'}, {'item': '- Crispy Soya Chaap', 'price': '₹229'}, {'item': 'Ries', 'price': '₹99'}, {'item': 'Andoori Mushroom', 'price': '₹299'}, {'item': 'Ull', 'price': '₹549'}, {'item': '- 299I-', 'price': '₹349'}, {'item': '- 299I- 299I- 299I-', 'price': '₹349'}, {'item': '- 249I-', 'price': '₹229'}, {'item': ""'Y Chinese Chilly Chicken"", 'price': '₹249'}, {'item': '- O Chicken 65', 'price': '₹249'}, {'item': 'Chicken Lollipop', 'price': '₹249'}, {'item': 'Ick', 'price': '₹299'}, {'item': 'Ish', 'price': '₹299'}, {'item': '- 2 Chicken Chowmine', 'price': '₹249'}, {'item': 'Riedrice', 'price': '₹249'}, {'item': '- Chilly Mushroom', 'price': '₹249'}, {'item': '- Veg.Manchurian', 'price': '₹199'}, {'item': '- 0 Chilly Paneer', 'price': '₹249'}, {'item': '- Chilly Soya Chaap', 'price': '₹299'}, {'item': '- Chilly Garlic Chaap', 'price': '₹299'}, {'item': 'Chowmine', 'price': '₹199'}, {'item': 'Ried Rice', 'price': '₹199'}, {'item': 'Rice', 'price': '₹145'}, {'item': '2 Rumali', 'price': '₹145'}, {'item': 'Rumali', 'price': '₹140'}, {'item': '2 Rumali', 'price': '₹140'}, {'item': 'Andoori', 'price': '₹140'}, {'item': '- 44Gi- 44Gi-', 'price': '₹399'}, {'item': '- A99I- A99I- A99I-', 'price': '₹550'}, {'item': 'Ull 749I-', 'price': '₹749'}, {'item': '- 749I-', 'price': '₹749'}, {'item': '- 749I- 8001-', 'price': '₹800'}, {'item': '- 449I-', 'price': '₹199'}, {'item': 'Al) Mix Veg Jeera Aloo Mushroom Masala Baked Veg', 'price': '₹249'}, {'item': '- 249I-', 'price': '₹249'}, {'item': '- 249I-', 'price': '₹249'}, {'item': '- 299I-', 'price': '₹299'}, {'item': '- 249I-', 'price': '₹249'}, {'item': '- 299I-', 'price': '₹179'}, {'item': '- 249I-', 'price': '₹229'}, {'item': 'On Biryani (Awadhi) Hyderabadi Chicken Biryani Muradabadi Chicken Biryani Madrasi Chicken Biryani', 'price': '₹99'}, {'item': '- 299I-', 'price': '₹299'}]","Chinese, North Indian",₹1000 for two,4.3 • 29 in Google •,"CLOSED, OPENS AT 2PM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Almost Cafe,"Plot No.120/611A, Lower Ground Lajpat Nagar, Adjoining I- Wave, Shastri Nagar, Kanpur, Uttar Pradesh",,[],Continental,₹800 for two,4.3 • 528 in Google •,"CLOSED, OPENS AT 11AM","Reservation available, Free wifi, SwiggyPay accepted"
Amrit Sagar Mishthan,"P Road, Gandhi Nagar, Near Lenil Park, Ashok Nagar, Kanpur",,[],North Indian,₹500 for two,3.5 • 146 in Google •,"CLOSED, OPENS AT 8AM","SwiggyPay accepted, Pure veg"
Amritsari Haveli,"122/67, Opposite Shani Dev Mandir, Sarojini Nagar, Darshan Purwa, Shastri Nagar Near Asl Foods Central Kanpur 208005",,[],North Indian,₹1200 for two,3.6 • 233 in Google •,"CLOSED, OPENS AT 1PM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Amritsari Haveli,"122/67, Sarojini Nagar, Lajpat Nagar, Kanpur",918081316504.0,,"North Indian, Biryani, Continental, Chinese, Mughlai, Cafe","₹1,700 for two","3.9, 3.9","12midnight – 1am, 12noon – 12midnight (Today)","Home Delivery, Takeaway Available, Wheelchair Accessible, Valet Parking Available, Romantic Dining, Luxury Dining, Indoor Seating, Family Friendly"
Angithi Food Court,Shop On Ground Floor Premises No. 123/814 Opposite Roadways Depot Fazal Ganj Kanpur Fazalganj-38 Nagar Nigam Food Safety Zone -19 Kanpur Nagar,,"[{'item': 'Andoori Chicken 275', 'price': '₹25'}, {'item': 'Chicken Seek Kabab 235 Paige 275', 'price': '₹575'}, {'item': 'Ee Iss Chicken Masala 225 Chicken Kali Mirch', 'price': '₹24'}, {'item': 'On Korma', 'price': '₹300'}, {'item': '75 Yoo', 'price': '₹575'}]",Mughlai,₹600 for two,4.3 • 4 in Google •,"CLOSED, OPENS AT 10AM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Artisans bakery,"117/Q, 173 Abc, Sharda Nagar Road, Gurudev Palace, Sharda Nagar, Kakadeo Near Oyo Hotel Emerald P G H Prayag Guest House North Kanpur 208025",,"[{'item': ""'Cakes Pineapple 525 Vanilla"", 'price': '₹525'}, {'item': 'Ure Cake', 'price': '₹600'}, {'item': 'Ree Cake', 'price': '₹600'}, {'item': 'Cake', 'price': '₹700'}, {'item': 'Rawberry', 'price': '₹700'}, {'item': '700 Rasmalai', 'price': '₹700'}, {'item': 'Rainbow', 'price': '₹800'}, {'item': 'Y A Price 7', 'price': '₹25'}, {'item': '125. Price 85', 'price': '₹85'}, {'item': 'Y 2', 'price': '₹45'}, {'item': 'Y 2', 'price': '₹45'}, {'item': 'Icks (', 'price': '₹20'}, {'item': 'Dry Cake (', 'price': '₹250'}]","Continental, Italian",₹500 for two,3.5 • 4 in Google •,OPEN TILL 11:59PM,"Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
