Restaurant Name,Location,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,Menu,More Info
Magnum Cafe & Restro,117/84 N Block Kakadeo Near Pandu Nagar Police Chowki Infront Of Bhadauriya Petrol Pump Kakadeo-22 Kanpur Nagar,"Chinese, Continental",₹600 for two,4.6 • 173 in Google •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699907430/3a2f5af27d906c6b44ae3f63fc4eff61.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699907435/40e41cd07ebdc4abfcaf83af9999d6f7.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699907440/a43680f8c15a15b4d2b8e39e0c77b714.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699907445/2af5e518cee97fecc87be1c509614349.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699907453/dbae2cef480c52e013ebcc1443e8a7cb.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699907459/35e023a01b948bf5baf7ca1f8814aafe.jpg","Reservation available, SwiggyPay accepted"
The Pizza Word,117/N/70 Kaka Deo Kanpur Naveen Nagar Kanpur Nagar,"Pizza, Fast Food",₹500 for two,4.4 • 36 in Google •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1701936145/b236a673866fb2310f4c9ccc7a2c9b1d.jpg","Reservation available, SwiggyPay accepted"
Chaiholic,"117/72, Avon Market, Ambedkar Nagar, Navin Nagar, Kakadeo North Kanpur 208025",Italian,₹600 for two,4.4 • 214 in Google •,"CLOSED, OPENS AT 10AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/7/c8db6374-8ce8-4c8c-9ffa-dc05cd1a9a08_20240807T093047592.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/7/59f40743-ada0-4a35-b997-a0d3519af302_20240807T093048104.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/7/d4103ae3-84c7-46b4-935d-15b7ed5f3b9a_20240807T093048642.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/7/a6bd56e1-9d76-4bb6-b0fa-eaac7dc2f4ec_20240807T093049099.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/7/9d708415-36e4-4618-8116-891faa6a25e8_20240807T093049588.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/7/0fb16a96-2993-4498-9792-a21736627bc9_20240807T093050054.jpg","Reservation available, Free wifi, SwiggyPay accepted"
Kuduk Chicken,"Uday Plaza, Avon Market, Kakadeo Near Sbj Digital Network, North Kanpur 208025",Fast Food,₹800 for two,4.6 • 407 in Google •,"CLOSED, OPENS AT 1PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699561847/7218576954dfa3a754e1d5a65514b82b.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699561852/2f878f7f2a8cd4062ba194a7c44bf176.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699561860/24248ba8ead4358891dfd17059d712a9.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699561865/54538e470a5d0213498884e86da36dba.jpg","Reservation available, SwiggyPay accepted"
Tandoori Chai,"117 N Block N-10, Avon Market, Kakadav Road, Ambedkar Nagar, Navin Nagar, Kakadeo Near Hi-Fi Language School, North Kanpur 208025",Fast Food,₹400 for two,4 • 1K+ in Google •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699648523/0c6fd4ce7787b92e161fee8a3c2e7ea9.jpg","Reservation available, SwiggyPay accepted"
Tosh,"Plot 76, Udai Plaza, 117, Block N, Kakadeo Near J. J. Girls Store North Kanpur 208025","Chinese, North Indian",₹400 for two,4.6 • 145 in Google •,"CLOSED, OPENS AT 2PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699475586/7ba57bd65031b9cce958ed71166a5f19.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699518206/ddd48c47185db9d7b2cdfd441641679c.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699518211/f71538662799d31df479d2a06c344e6d.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699518215/bf71bb48b87248fa940a0641263eef3f.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699518220/d94ef7dc10776afe5a010015c63cea28.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699518222/e0fdf7fe4eb6d9dd0d1e12d898839fd6.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1699518226/c8f9ca40b60166bc1f9b05eea27ee89a.jpg","Reservation available, SwiggyPay accepted"
Silver Spoons Bakery (Kakadeo),"Plot No.1, Avon Market, Ambedkar Nagar, Navin Nagar, Kakadeo, Kanpur, Uttar Pradesh",Fast Food,₹800 for two,4.1 • 2K+ in Google •,"CLOSED, OPENS AT 9AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/2/22/3a92c8cf-2196-454b-b07f-1560153cdfff_image2228ab37e1cc44d4db9c5aad400fd930e.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/2/22/d3703d45-6101-4c59-b3ec-89f3b8c7a83f_image9b84ef969a7ed4c8eb13884904b7e5601.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/2/22/b49fb371-079f-404f-8a87-69a147e4dd50_image80e6b0a977f174671948ac45febb4a29c.JPG","Reservation available, Parking available, SwiggyPay accepted, Pure veg"
Spice Elixir - An Elixir Guaranteed To Induce Love,"117/N/88, Kakadeo Road, P Block, Ambedkar Nagar, Navin Nagar, Kakadeo North Kanpur 208025",North Indian,₹500 for two,4.8 • 19 in Google •,"CLOSED, OPENS AT 10AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/9/ed8aa8b0-1d0f-484f-bc70-97b523117875_20240809T073029395.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/9/0fff5707-51c7-4de8-a097-ad9c564b92a5_20240809T073029713.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/9/de462961-0ea5-4b74-a4c7-89b446913237_20240809T073030097.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/8/9/06f5878d-3d51-4b63-abf7-1cc0ddfcd4c9_20240809T073030479.jpg","Reservation available, Free wifi, SwiggyPay accepted"
The Chaat Bazaar By Mezbaan,"117/N/244, P Block, Ambedkar Nagar, Navin Nagar, Kakadeo Near Swa-Adhyayan Library North Kanpur 208025","North Indian, South Indian",₹700 for two,3.8 • 194 in Google •,"CLOSED, OPENS AT 8:30AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710156867/fe99f4f5e288e5656d07842d605cc722.png","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Pakvan Restaurant,"117/H, 1/375, Model Town, Pandu Nagar, Kanpur, Uttar Pradesh",North Indian,₹600 for two,3.5 • 53 in Google •,"CLOSED, OPENS AT 10AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/d763c714-d539-4ae0-87a6-77c9183e671d_image1f4498b2a56f2438799a7482e50db0ab7.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/3a954adb-39d3-4757-9ae9-dbb32db535b7_image744f98542b0214bcab474d228f3fc9192.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/d05ac202-ba31-4923-9921-be3f63c5a949_image10ca47fe653896483ab7650b02aad3659e.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/438b518a-8d02-4b53-84c6-3d4de6d073a8_image564b07663e50b445080691aa20d74bad1.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/9a709565-3fd2-4640-8da6-8da796db3975_image6ae698314201a4d1099b6cc08a7e064a5.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/b66851ff-3cb6-4c7a-a3f7-50a1b0922638_image461900528d12e4caebc6b8ac889f27881.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/dc2996a5-f39f-42de-b8eb-89d2bca6cdd7_image05eccc539ba3b4f359905588ca070629f.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/10/11/4331b627-7b7a-4386-9157-e04457792652_image92b7d8d7dd46844aa9c1ba1dc5a89f64c.JPG","Parking available, SwiggyPay accepted"
